27145,0
27146,1
27147,1
27148,0
27149,1
27150,0
27151,1
27152,1
27153,1
27154,1
27155,0
27156,1
27157,1
27158,0
27159,1
27160,1
27161,1
27162,0
27163,1
27164,0
27165,1
27166,1
27167,1
27168,0
27169,1
27170,0
27171,1
27172,0
27173,1
27174,0
27175,1
27176,1
27177,0
27178,0
27179,1
27180,0
27181,0
27182,0
27183,0
27184,1
27185,0
27186,0
27187,0
27188,0
27189,0
27190,0
27191,1
27192,1
27193,1
27194,1
27195,0
27196,0
27197,1
27198,0
27199,1
27200,0
27201,0
27202,1
27203,0
27204,1
27205,0
27206,1
27207,0
27208,1
27209,0
27210,0
27211,0
27212,0
27213,0
27214,0
27215,1
27216,0
27217,1
27218,1
27219,0
27220,1
27221,1
27222,1
27223,0
27224,0
27225,1
27226,1
27227,1
27228,1
27229,0
27230,1
27231,0
27232,0
27233,0
27234,0
27235,0
27236,1
27237,0
27238,0
27239,1
27240,1
27241,1
27242,0
27243,1
27244,1
27245,0
27246,1
27247,0
27248,0
27249,0
27250,0
27251,0
27252,0
27253,0
27254,0
27255,0
27256,0
27257,1
27258,0
27259,1
27260,1
27261,1
27262,1
27263,0
27264,1
27265,1
27266,1
27267,0
27268,1
27269,0
27270,0
27271,0
27272,1
27273,1
27274,1
27275,0
27276,1
27277,1
27278,1
27279,1
27280,1
27281,0
27282,1
27283,0
27284,1
27285,1
27286,0
27287,0
27288,0
27289,0
27290,1
27291,0
27292,0
27293,1
27294,1
27295,1
27296,1
27297,1
27298,0
27299,0
27300,1
27301,1
27302,1
27303,0
27304,0
27305,0
27306,0
27307,1
27308,1
27309,1
27310,1
27311,0
27312,0
27313,1
27314,0
27315,1
27316,0
27317,1
27318,1
27319,1
27320,1
27321,0
27322,0
27323,1
27324,0
27325,0
27326,1
27327,1
27328,1
27329,1
27330,1
27331,0
27332,0
27333,1
27334,1
27335,0
27336,0
27337,0
27338,0
27339,1
27340,1
27341,0
27342,0
27343,0
27344,1
27345,0
27346,1
27347,1
27348,1
27349,0
27350,0
27351,0
27352,0
27353,0
27354,1
27355,0
27356,1
27357,0
27358,1
27359,1
27360,0
27361,0
27362,1
27363,1
27364,0
27365,0
27366,0
27367,1
27368,1
27369,1
27370,1
27371,0
27372,0
27373,1
27374,0
27375,1
27376,1
27377,0
27378,1
27379,1
27380,1
27381,0
27382,1
27383,0
27384,1
27385,1
27386,0
27387,1
27388,0
27389,1
27390,0
27391,1
27392,1
27393,0
27394,0
27395,0
27396,1
27397,1
27398,0
27399,0
27400,1
27401,0
27402,1
27403,1
27404,0
27405,0
27406,0
27407,0
27408,0
27409,1
27410,1
27411,0
27412,1
27413,1
27414,1
27415,0
27416,1
27417,1
27418,0
27419,1
27420,0
27421,0
27422,0
27423,0
27424,1
27425,0
27426,0
27427,0
27428,0
27429,0
27430,0
27431,1
27432,0
27433,1
27434,1
27435,1
27436,1
27437,0
27438,1
27439,0
27440,1
27441,0
27442,1
27443,0
27444,0
27445,1
27446,0
27447,1
27448,0
27449,1
27450,1
27451,1
27452,1
27453,1
27454,1
27455,1
27456,1
27457,0
27458,0
27459,1
27460,1
27461,0
27462,1
27463,1
27464,0
27465,1
27466,0
27467,1
27468,0
27469,0
27470,1
27471,0
27472,1
27473,1
27474,0
27475,1
27476,1
27477,1
27478,0
27479,0
27480,1
27481,0
27482,1
27483,0
27484,0
27485,0
27486,0
27487,0
27488,0
27489,1
27490,1
27491,1
27492,1
27493,1
27494,1
27495,1
27496,1
27497,0
27498,1
27499,1
27500,0
27501,0
27502,1
27503,0
27504,1
27505,0
27506,1
27507,0
27508,0
27509,1
27510,1
27511,0
27512,1
27513,1
27514,0
27515,1
27516,0
27517,0
27518,0
27519,1
27520,1
27521,1
27522,1
27523,1
27524,0
27525,0
27526,0
27527,0
27528,0
27529,1
27530,1
27531,1
27532,1
27533,1
27534,1
27535,0
27536,1
27537,1
27538,1
27539,0
27540,0
27541,1
27542,1
27543,0
27544,0
27545,0
27546,0
27547,0
27548,1
27549,0
27550,0
27551,1
27552,1
27553,0
27554,1
27555,1
